Entrez.Gene,Symbol,metaZscore,metaPval,effect,Pval.adj,Bonferroni,maxFC,avgFC,BraakR,atrophyR
63974,NEUROD6,-9.925505739,0,------,0,0,0.44,0.60,-0.7696,-0.6232
51538,ZCCHC17,-8.912947052,0,------,0,0,0.65,0.81,-0.7271,-0.5855
5475,PPEF1,-8.898961276,0,------,0,0,0.43,0.61,-0.7583,-0.6095
712,C1QA,8.763763582,0,?+++++,0,0,2.01,1.59,0.6066,0.4749
63905,MANBAL,-8.763738503,0,--?---,0,0,0.82,0.87,-0.7309,-0.575
627,BDNF,-8.740857157,0,--?---,0,0,0.49,0.61,-0.7556,-0.5796
1392,CRH,-8.73115969,0,--?---,0,0,0.31,0.54,-0.7707,-0.5751
3707,ITPKB,8.682682353,0,++++++,0,0,5.14,1.80,0.7548,0.5749
388341,FAM211A,-8.679768354,0,--?---,0,0,0.77,0.84,,
2289,FKBP5,8.588254626,0,++++++,0,0,2.24,1.56,0.7503,0.5765
64231,MS4A6A,8.572181903,0,++++++,0,0,1.70,1.43,0.6234,0.5078
78991,PCYOX1L,-8.571644979,0,------,0,0,0.44,0.67,-0.6449,-0.5866
1846,DUSP4,-8.514007678,0,--?---,0,0,0.57,0.70,-0.742,-0.5441
7108,TM7SF2,-8.493387281,0,--?---,0,0,0.63,0.78,-0.7054,-0.5671
6405,SEMA3F,8.470083757,0,++++++,0,0,1.78,1.32,0.6046,0.4836
9322,TRIP10,8.417986112,0,++++++,0,0,1.69,1.38,0.6882,0.5563
10184,LHFPL2,8.403735536,0,++++++,0,0,1.53,1.32,0.6608,0.557
9315,NREP,-8.392511545,0,------,0,0,0.57,0.75,,
381,ARF5,-8.351133963,0,------,0,0,0.51,0.78,-0.6948,-0.6016
84620,ST6GAL2,-8.324612464,0,--?---,0,0,0.67,0.75,-0.6711,-0.5531
56261,GPCPD1,-8.314139758,0,--?---,0,0,0.54,0.72,-0.6902,-0.5263
79930,DOK3,8.301197725,0,++?+++,0,0,1.38,1.27,0.5952,0.4672
3754,KCNF1,-8.29565201,0,------,0,0,0.62,0.78,-0.7353,-0.6074
4792,NFKBIA,8.281987631,2.22E-16,++?+++,2.01E-13,5.22E-12,2.38,1.54,0.7374,0.5844
29906,ST8SIA5,-8.26285385,2.22E-16,--?---,2.01E-13,5.22E-12,0.63,0.79,-0.6263,-0.493
26471,NUPR1,8.189889076,2.22E-16,++++++,2.01E-13,5.22E-12,2.18,1.66,0.7051,0.563
1802,DPH2,-8.14690964,4.44E-16,--?---,3.37E-13,1.04E-11,0.86,0.89,,-0.5235
887,CCKBR,-8.132866754,4.44E-16,------,3.37E-13,1.04E-11,0.61,0.71,-0.7221,-0.6074
26524,LATS2,8.119987301,4.44E-16,++?+++,3.37E-13,1.04E-11,3.57,1.57,0.712,0.5713
3017,HIST1H2BD,8.108210513,4.44E-16,++++++,3.37E-13,1.04E-11,2.22,1.46,,0.5037
83445,GSG1,-8.103899248,4.44E-16,???---,3.37E-13,1.04E-11,0.65,0.79,-0.6976,-0.528
8988,HSPB3,-8.089071899,6.66E-16,-?----,4.61E-13,1.57E-11,0.54,0.65,-0.7181,-0.6054
51299,NRN1,-8.08381845,6.66E-16,------,4.61E-13,1.57E-11,0.53,0.67,-0.7439,-0.6127
