yourlist:M20201204A94466D2655679D1FD8953E075198DA81C43253	Entry
A2M	F5H1E8
A2M	F8W7L3
A2M	H0YFH1
A2M	L0R6B6
A2M	P01023
A2M	Q9BQ22
AASDH	D6RJA2
AASDH	E9PH98
AASDH	Q4L235
AASDH	R4GNB1
ABCA1	A5D8U6
ABCA1	B1AMI1
ABCA1	B1AMI2
ABCA1	B2RUU2
ABCA1	B7XCW9
ABCA1	L8E884
ABCA1	O95477
ABCA1	Q9NP93
ABCA2	A0A087WXK5
ABCA2	A0A096LP90
ABCA2	E9PGB2
ABCA2	H0Y8C9
ABCA2	H0Y8D6
ABCA2	H0Y8E3
ABCA2	H7C5M6
ABCA2	J3QSS3
ABCA2	Q08EJ9
ABCA2	Q13039
ABCA2	Q6P2G5
ABCA2	Q96HC2
ABCA2	Q9BZC7
ABCA7	A0A087WX86
ABCA7	A0A087WZX6
ABCA7	A0A6E1ZGS3
ABCA7	D6W5Y0
ABCA7	E9PKG5
ABCA7	E9PL63
ABCA7	H0YCN5
ABCA7	H0YF58
ABCA7	L8EB07
ABCA7	Q8IZY2
ABCC2	A0A3B3IRU4
ABCC2	A0A3B3IRZ2
ABCC2	A0A3B3IS94
ABCC2	A0A3B3ITG8
ABCC2	Q92887
ABCG1	C9JKD9
ABCG1	E9PGV9
ABCG1	P45844
ABCG2	A1LUE4
ABCG2	F8S0F2
ABCG2	F8S0F6
ABCG2	F8S0F7
ABCG2	I4EPX2
ABCG2	I7JB59
ABCG2	Q8WZ76
ABCG2	Q9UNQ0
ACAN	A0A087X1T7
ACAN	A0A5K1VW97
ACAN	H0YK70
ACAN	H0YMF1
ACAN	P16112
ACAN	Q6PID9
ACE	A0A0A0MSN4
ACE	D3DU13
ACE	I3UJJ7
ACE	I6L9B3
ACE	J3KRH5
ACE	J3KS28
ACE	J3KSQ5
ACE	J3KTB8
ACE	J3KTH9
ACE	J3QLR4
ACE	J3QRX8
ACE	J3QSC7
ACE	P12821
ACE	Q1KSD9
ACE	Q1KSG0
ACE	Q3KRI4
ACE	Q3KRI5
ACE	X4Y8J8
ADAM10	A0A024R5U5
ADAM10	A0A087WYG1
ADAM10	A0AV88
ADAM10	B5MC71
ADAM10	C9J9B4
ADAM10	H0YK32
ADAM10	H0YK87
ADAM10	H0YNC5
ADAM10	H3BS53
ADAM10	L8E9R5
ADAM10	O14672
ADAM12	O43184
ADAM12	Q5JRP2
ADAM12	U5NE98
ADRA2B	L8E8D5
ADRA2B	P18089
ADRB1	P08588
ADRB2	A2N4T7
ADRB2	P07550
ADRB2	Q9BYZ0
ADRB2	X5DQM5
ADRB3	A8KAG8
ADRB3	B8X6N0
ADRB3	B8X6N1
ADRB3	P13945
AGER	A0A0G2JID9
AGER	A0A0G2JJF5
AGER	A0A0G2JJW2
AGER	A0A0G2JKB6
AGER	A0A0G2JL21
AGER	A0A0G2JL23
AGER	A0A0G2JL37
AGER	A0A0G2JL65
AGER	A8MS87
AGER	B5A982
AGER	C0IP14
AGER	C0IP16
AGER	E9LVY5
AGER	E9LVY6
AGER	E9LVY7
AGER	F1ABM9
AGER	F1ABN0
AGER	F1ABN1
AGER	F1ABN2
AGER	F1ABN3
AGER	F1ABN4
AGER	F1ABN5
AGER	Q101R2
AGER	Q101R3
AGER	Q101R5
AGER	Q15109
AGER	Q3L1R2
AGER	Q3L1R3
AGER	Q5SSZ2
AGER	Q5SSZ3
AGER	Q71BB6
AGER	Q71BG7
AHSG	C9JV77
AHSG	P02765
ALDH2	A0A384NPN7
ALDH2	B0LUF9
ALDH2	B0LUG0
ALDH2	B0LUG2
ALDH2	B4YAH7
ALDH2	F8VSB0
ALDH2	P05091
ALDH2	Q9UN17
ALDH2	S4R3S4
ALOX5	A0A087X109
ALOX5	I0CLG0
ALOX5	P09917
ANK2	A0A087WZU3
ANK2	A0A0U1RQN6
ANK2	A0A5F9ZGS5
ANK2	A0A5F9ZGS7
ANK2	A0A5F9ZGX3
ANK2	A0A5F9ZGX8
ANK2	A0A5F9ZGY1
ANK2	A0A5F9ZGY3
ANK2	A0A5F9ZGY4
ANK2	A0A5F9ZGZ1
ANK2	A0A5F9ZGZ5
ANK2	A0A5F9ZH03
ANK2	A0A5F9ZH10
ANK2	A0A5F9ZH17
ANK2	A0A5F9ZH18
ANK2	A0A5F9ZH19
ANK2	A0A5F9ZH30
ANK2	A0A5F9ZH34
ANK2	A0A5F9ZH35
ANK2	A0A5F9ZH38
ANK2	A0A5F9ZH39
ANK2	A0A5F9ZH58
ANK2	A0A5F9ZH70
ANK2	A0A5F9ZH99
ANK2	A0A5F9ZHA1
ANK2	A0A5F9ZHC9
ANK2	A0A5F9ZHD2
ANK2	A0A5F9ZHE2
ANK2	A0A5F9ZHE4
ANK2	A0A5F9ZHF7
ANK2	A0A5F9ZHG3
ANK2	A0A5F9ZHJ4
ANK2	A0A5F9ZHJ6
ANK2	A0A5F9ZHL3
ANK2	A0A5F9ZHL5
ANK2	A0A5F9ZHL9
ANK2	A0A5F9ZHM6
ANK2	A0A5F9ZHN0
ANK2	A0A5F9ZHN5
ANK2	A0A5F9ZHQ3
ANK2	A0A5F9ZHQ5
ANK2	A0A5F9ZHR2
ANK2	A0A5F9ZHR8
ANK2	A0A5F9ZHS1
ANK2	A0A5F9ZHT4
ANK2	A0A5F9ZHT8
ANK2	A0A5F9ZHV4
ANK2	A0A5F9ZHY6
ANK2	A0A5F9ZI08
ANK2	A0A5F9ZI15
ANK2	A0A5F9ZI16
ANK2	A0A5F9ZI18
ANK2	A0A5F9ZI30
ANK2	A0A5F9ZI36
ANK2	A0A5F9ZI40
ANK2	A0A5F9ZI41
ANK2	A0A5F9ZI45
ANK2	A0A5F9ZI46
ANK2	A0A5F9ZI53
ANK2	A0A5F9ZI56
ANK2	A0A5F9ZI65
ANK2	A0A5F9ZI69
ANK2	A0A5F9ZI73
ANK2	A0A5F9ZI81
ANK2	A0A5K1VW73
ANK2	A0A669KB19
ANK2	A0A669KBJ6
ANK2	A5XEJ9
ANK2	A5XEK0
ANK2	B7Z651
ANK2	D6RHE1
ANK2	D6RIY9
ANK2	E9PCH6
ANK2	E9PHW9
ANK2	H0Y8X8
ANK2	H0Y8Y2
ANK2	H0Y931
ANK2	H0Y933
ANK2	H0YAG3
ANK2	I6L894
ANK2	L8E9V3
ANK2	Q01484
APBB1	A0A075B7G8
APBB1	A0A087WYH9
APBB1	A0A087X0V7
APBB1	J3KPL8
APBB1	O00213
APBB1	Q8TEY4
APBB1	V9GY97
APBB1	V9GYD5
APBB1	V9GYR7
APBB2	A0A0S2Z3A0
APBB2	A0A0S2Z3A2
APBB2	A0A1D5RMR3
APBB2	D6RAE0
APBB2	D6RAJ4
APBB2	D6RB00
APBB2	D6RB55
APBB2	D6RD19
APBB2	D6RDY3
APBB2	D6RGD4
APBB2	G5E9Y1
APBB2	H0Y943
APBB2	H0Y9U9
APBB2	H0YA92
APBB2	H0YAJ5
APBB2	Q5I0G1
APBB2	Q92870
