UNIPROT,has,description
up:P11177,hsa:5162,PDHB; pyruvate dehydrogenase E1 subunit beta
up:Q9UIL1,hsa:60592,SCOC; short coiled-coil protein
up:O95219,hsa:8723,SNX4; sorting nexin 4
up:Q92845,hsa:22920,KIFAP3; kinesin associated protein 3
up:Q96FW1,hsa:55611,"OTUB1; OTU deubiquitinase, ubiquitin aldehyde binding 1"
up:P09471,hsa:2775,GNAO1; G protein subunit alpha o1
up:Q69YW2,hsa:375057,"STUM; stum, mechanosensory transduction mediator homolog"
up:P00505,hsa:2806,GOT2; glutamic-oxaloacetic transaminase 2
up:P19623,hsa:6723,SRM; spermidine synthase
up:Q8TB36,hsa:54332,GDAP1; ganglioside induced differentiation associated protein 1
up:Q70HW3,hsa:115286,SLC25A26; solute carrier family 25 member 26
up:Q8N594,hsa:84954,MPND; MPN domain containing
up:Q8N6D5,hsa:147463,ANKRD29; ankyrin repeat domain 29
up:P09958,hsa:5045,"FURIN; furin, paired basic amino acid cleaving enzyme"
up:P16219,hsa:35,ACADS; acyl-CoA dehydrogenase short chain
up:P09622,hsa:1738,DLD; dihydrolipoamide dehydrogenase
up:P06744,hsa:2821,GPI; glucose-6-phosphate isomerase
up:P40939,hsa:3030,HADHA; hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
up:P15259,hsa:5224,PGAM2; phosphoglycerate mutase 2
up:P00558,hsa:5230,PGK1; phosphoglycerate kinase 1
up:P60174,hsa:7167,TPI1; triosephosphate isomerase 1
up:Q96RN5,hsa:51586,MED15; mediator complex subunit 15
up:Q9C040,hsa:23321,TRIM2; tripartite motif containing 2
up:O75534,hsa:7812,CSDE1; cold shock domain containing E1
up:P50995,hsa:311,ANXA11; annexin A11
up:Q86X27,hsa:55103,RALGPS2; Ral GEF with PH domain and SH3 binding motif 2
up:Q14117,hsa:1807,DPYS; dihydropyrimidinase
up:P06733,hsa:2023,ENO1; enolase 1
up:P02794,hsa:2495,FTH1; ferritin heavy chain 1
up:P04406,hsa:2597,GAPDH; glyceraldehyde-3-phosphate dehydrogenase
up:P63096,hsa:2770,GNAI1; G protein subunit alpha i1
up:P36969,hsa:2879,GPX4; glutathione peroxidase 4
up:P10644,hsa:5573,PRKAR1A; protein kinase cAMP-dependent type I regulatory subunit alpha
up:P61019,hsa:5862,"RAB2A; RAB2A, member RAS oncogene family"
up:P25705,hsa:498,ATP5F1A; ATP synthase F1 subunit alpha
up:O43581,hsa:9066,SYT7; synaptotagmin 7
up:Q15019,hsa:4735,SEPTIN2; septin 2
up:P48547,hsa:3746,KCNC1; potassium voltage-gated channel subfamily C member 1
up:P02545,hsa:4000,LMNA; lamin A/C
up:P11217,hsa:5837,"PYGM; glycogen phosphorylase, muscle associated"
up:Q13976,hsa:5592,PRKG1; protein kinase cGMP-dependent 1
up:O43837,hsa:3420,IDH3B; isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta
up:Q99497,hsa:11315,PARK7; Parkinsonism associated deglycase
up:P30044,hsa:25824,PRDX5; peroxiredoxin 5
up:O95858,hsa:23555,TSPAN15; tetraspanin 15
up:Q6NYC1,hsa:23210,"JMJD6; jumonji domain containing 6, arginine demethylase and lysine hydroxylase"
up:Q8WW12,hsa:57092,PCNP; PEST proteolytic signal containing nuclear protein
up:O15162,hsa:5359,PLSCR1; phospholipid scramblase 1
up:Q9Y5R8,hsa:58485,TRAPPC1; trafficking protein particle complex subunit 1
up:Q9BQ89,hsa:83541,FAM110A; family with sequence similarity 110 member A
up:P00167,hsa:1528,CYB5A; cytochrome b5 type A
up:Q8IZ83,hsa:126133,ALDH16A1; aldehyde dehydrogenase 16 family member A1
up:P59282,hsa:122664,TPPP2; tubulin polymerization promoting protein family member 2
up:Q8IUR0,hsa:126003,TRAPPC5; trafficking protein particle complex subunit 5
up:Q8NB37,hsa:347862,GATD1; glutamine amidotransferase class 1 domain containing 1
up:Q7Z6J6,hsa:84978,FRMD5; FERM domain containing 5
up:Q9Y4B5,hsa:23255,MTCL1; microtubule crosslinking factor 1
up:P31512,hsa:2329,FMO4; flavin containing dimethylaniline monoxygenase 4
up:Q9NQZ8,hsa:58491,ZNF71; zinc finger protein 71
up:P56470,hsa:3960,LGALS4; galectin 4
up:Q96PR1,hsa:3747,KCNC2; potassium voltage-gated channel subfamily C member 2
up:P07108,hsa:1622,"DBI; diazepam binding inhibitor, acyl-CoA binding protein"
up:Q9NZF1,hsa:51316,PLAC8; placenta associated 8
up:Q13227,hsa:2874,GPS2; G protein pathway suppressor 2
up:P26378,hsa:1996,ELAVL4; ELAV like RNA binding protein 4
up:P61204,hsa:377,ARF3; ADP ribosylation factor 3
up:P40925,hsa:4190,MDH1; malate dehydrogenase 1
up:Q8NC96,hsa:25977,NECAP1; NECAP endocytosis associated 1
up:P99999,hsa:54205,"CYCS; cytochrome c, somatic"
up:Q9NUL3,hsa:27067,STAU2; staufen double-stranded RNA binding protein 2
up:P08237,hsa:5213,"PFKM; phosphofructokinase, muscle"
up:Q02750,hsa:5604,MAP2K1; mitogen-activated protein kinase kinase 1
up:O75896,hsa:11334,"TUSC2; tumor suppressor 2, mitochondrial calcium regulator"
up:Q99747,hsa:8774,NAPG; NSF attachment protein gamma
up:Q96F85,hsa:25927,CNRIP1; cannabinoid receptor interacting protein 1
up:O00399,hsa:10671,DCTN6; dynactin subunit 6
up:P24666,hsa:52,ACP1; acid phosphatase 1
up:P00492,hsa:3251,HPRT1; hypoxanthine phosphoribosyltransferase 1
up:P63104,hsa:7534,YWHAZ; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
up:Q6ZQX7,hsa:400566,C17orf97; chromosome 17 open reading frame 97
up:Q01581,hsa:3157,HMGCS1; 3-hydroxy-3-methylglutaryl-CoA synthase 1
up:Q8TB36,hsa:54332,GDAP1; ganglioside induced differentiation associated protein 1
up:Q8IYI6,hsa:149371,EXOC8; exocyst complex component 8
up:P17612,hsa:5566,PRKACA; protein kinase cAMP-activated catalytic subunit alpha
up:Q92777,hsa:6854,SYN2; synapsin II
up:P05413,hsa:2170,FABP3; fatty acid binding protein 3
up:P40855,hsa:5824,PEX19; peroxisomal biogenesis factor 19
up:P20340,hsa:5870,"RAB6A; RAB6A, member RAS oncogene family"
up:P05166,hsa:5096,PCCB; propionyl-CoA carboxylase subunit beta
up:O14775,hsa:10681,GNB5; G protein subunit beta 5
up:Q9UK76,hsa:51155,JPT1; Jupiter microtubule associated homolog 1
up:Q16566,hsa:814,CAMK4; calcium/calmodulin dependent protein kinase IV
up:Q8N4V2,hsa:55530,SVOP; SV2 related protein
up:Q9GZP4,hsa:57095,PITHD1; PITH domain containing 1
up:Q9BTX7,hsa:79183,TTPAL; alpha tocopherol transfer protein like
up:Q9NZ45,hsa:55847,CISD1; CDGSH iron sulfur domain 1
up:P21695,hsa:2819,GPD1; glycerol-3-phosphate dehydrogenase 1
up:O95299,hsa:4705,NDUFA10; NADH:ubiquinone oxidoreductase subunit A10
up:P49821,hsa:4723,NDUFV1; NADH:ubiquinone oxidoreductase core subunit V1
up:Q9NUI1,hsa:26063,"DECR2; 2,4-dienoyl-CoA reductase 2"
up:P45954,hsa:36,ACADSB; acyl-CoA dehydrogenase short/branched chain
up:O75340,hsa:10016,PDCD6; programmed cell death 6
up:P26440,hsa:3712,IVD; isovaleryl-CoA dehydrogenase
up:A5PLN9,hsa:80006,TRAPPC13; trafficking protein particle complex subunit 13
up:Q86V88,hsa:145553,MDP1; magnesium dependent phosphatase 1
up:P63098,hsa:5534,"PPP3R1; protein phosphatase 3 regulatory subunit B, alpha"
up:Q86WC6,hsa:116729,PPP1R27; protein phosphatase 1 regulatory subunit 27
up:P09493,hsa:7168,TPM1; tropomyosin 1
up:Q96LB3,hsa:80173,IFT74; intraflagellar transport 74
up:P14324,hsa:2224,FDPS; farnesyl diphosphate synthase
up:O43614,hsa:3062,HCRTR2; hypocretin receptor 2
up:P06576,hsa:506,ATP5F1B; ATP synthase F1 subunit beta
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P48052,hsa:1358,CPA2; carboxypeptidase A2
up:P48730,hsa:1453,CSNK1D; casein kinase 1 delta
up:P52209,hsa:5226,PGD; phosphogluconate dehydrogenase
up:O14521,hsa:6392,SDHD; succinate dehydrogenase complex subunit D
up:Q01995,hsa:6876,TAGLN; transgelin
up:P78563,hsa:104,ADARB1; adenosine deaminase RNA specific B1
up:P56377,hsa:8905,AP1S2; adaptor related protein complex 1 subunit sigma 2
up:P13861,hsa:5576,PRKAR2A; protein kinase cAMP-dependent type II regulatory subunit alpha
up:Q8WUH2,hsa:9392,TGFBRAP1; transforming growth factor beta receptor associated protein 1
up:O95864,hsa:9415,FADS2; fatty acid desaturase 2
up:Q99714,hsa:3028,HSD17B10; hydroxysteroid 17-beta dehydrogenase 10
up:O43920,hsa:4725,NDUFS5; NADH:ubiquinone oxidoreductase subunit S5
up:P47756,hsa:832,CAPZB; capping actin protein of muscle Z-line subunit beta
up:O95169,hsa:4714,NDUFB8; NADH:ubiquinone oxidoreductase subunit B8
up:P29803,hsa:5161,PDHA2; pyruvate dehydrogenase E1 subunit alpha 2
up:P20264,hsa:5455,POU3F3; POU class 3 homeobox 3
up:P46459,hsa:4905,"NSF; N-ethylmaleimide sensitive factor, vesicle fusing ATPase"
up:Q16851,hsa:7360,UGP2; UDP-glucose pyrophosphorylase 2
up:O15228,hsa:8443,GNPAT; glyceronephosphate O-acyltransferase
up:Q13442,hsa:11333,PDAP1; PDGFA associated protein 1
up:Q8N0W4,hsa:57502,NLGN4X; neuroligin 4 X-linked
up:Q96DB5,hsa:51115,RMDN1; regulator of microtubule dynamics 1
up:Q9BPX1,hsa:51171,HSD17B14; hydroxysteroid 17-beta dehydrogenase 14
up:Q9Y5Z6,hsa:8708,"B3GALT1; beta-1,3-galactosyltransferase 1"
up:P25325,hsa:4357,MPST; mercaptopyruvate sulfurtransferase
up:Q9H2U2,hsa:27068,PPA2; inorganic pyrophosphatase 2
up:Q17RW2,hsa:255631,COL24A1; collagen type XXIV alpha 1 chain
up:Q9P0L0,hsa:9218,VAPA; VAMP associated protein A
up:Q08289,hsa:783,CACNB2; calcium voltage-gated channel auxiliary subunit beta 2
up:Q8WWL7,hsa:85417,CCNB3; cyclin B3
up:Q9ULI4,hsa:26153,KIF26A; kinesin family member 26A
up:P28715,hsa:2073,"ERCC5; ERCC excision repair 5, endonuclease"
up:P48544,hsa:3762,KCNJ5; potassium inwardly rectifying channel subfamily J member 5
up:P14618,hsa:5315,PKM; pyruvate kinase M1/2
up:O00622,hsa:3491,CCN1; cellular communication network factor 1
up:Q96P44,hsa:81578,COL21A1; collagen type XXI alpha 1 chain
up:P53602,hsa:4597,MVD; mevalonate diphosphate decarboxylase
up:Q96HF1,hsa:6423,SFRP2; secreted frizzled related protein 2
up:O95263,hsa:8622,PDE8B; phosphodiesterase 8B
up:P68106,hsa:2281,FKBP1B; FKBP prolyl isomerase 1B
up:O60500,hsa:4868,"NPHS1; NPHS1 adhesion molecule, nephrin"
up:O43252,hsa:9061,PAPSS1; 3'-phosphoadenosine 5'-phosphosulfate synthase 1
up:Q8TBJ5,hsa:55079,FEZF2; FEZ family zinc finger 2
up:Q9NSN8,hsa:54212,SNTG1; syntrophin gamma 1
up:Q9H6X4,hsa:80194,TMEM134; transmembrane protein 134
up:P08243,hsa:440,ASNS; asparagine synthetase (glutamine-hydrolyzing)
up:Q8N895,hsa:167465,ZNF366; zinc finger protein 366
up:Q13303,hsa:8514,KCNAB2; potassium voltage-gated channel subfamily A regulatory beta subunit 2
up:Q8N4Q0,hsa:284273,ZADH2; zinc binding alcohol dehydrogenase domain containing 2
up:Q9H2B2,hsa:6860,SYT4; synaptotagmin 4
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P0DP25,hsa:808,CALM3; calmodulin 3
up:P19429,hsa:7137,"TNNI3; troponin I3, cardiac type"
up:Q15147,hsa:5332,PLCB4; phospholipase C beta 4
up:Q9HCR9,hsa:50940,PDE11A; phosphodiesterase 11A
up:Q5TCY1,hsa:84630,TTBK1; tau tubulin kinase 1
up:P41181,hsa:359,AQP2; aquaporin 2
up:Q8N9N7,hsa:255252,LRRC57; leucine rich repeat containing 57
up:Q96GK7,hsa:51011,FAHD2A; fumarylacetoacetate hydrolase domain containing 2A
up:P17568,hsa:4713,NDUFB7; NADH:ubiquinone oxidoreductase subunit B7
up:Q9UBK7,hsa:11159,"RABL2A; RAB, member of RAS oncogene family like 2A"
up:P13804,hsa:2108,ETFA; electron transfer flavoprotein subunit alpha
up:Q5VZ03,hsa:158046,NXNL2; nucleoredoxin like 2
up:P30988,hsa:799,CALCR; calcitonin receptor
up:P49189,hsa:223,ALDH9A1; aldehyde dehydrogenase 9 family member A1
up:Q96RW7,hsa:83872,HMCN1; hemicentin 1
up:P19404,hsa:4729,NDUFV2; NADH:ubiquinone oxidoreductase core subunit V2
up:O94903,hsa:11212,PLPBP; pyridoxal phosphate binding protein
up:Q9HCJ6,hsa:57687,VAT1L; vesicle amine transport 1 like
up:P82251,hsa:11136,SLC7A9; solute carrier family 7 member 9
up:P51553,hsa:3421,IDH3G; isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma
