yourlist:M20201204A94466D2655679D1FD8953E075198DA81C4780X	Entry
A2M	F5H1E8
A2M	F8W7L3
A2M	H0YFH1
A2M	L0R6B6
A2M	P01023
A2M	Q9BQ22
ABCA1	A5D8U6
ABCA1	B1AMI1
ABCA1	B1AMI2
ABCA1	B2RUU2
ABCA1	B7XCW9
ABCA1	L8E884
ABCA1	O95477
ABCA1	Q9NP93
ABCA12	E9PBK1
ABCA12	Q86UK0
ABCA2	A0A087WXK5
ABCA2	A0A096LP90
ABCA2	E9PGB2
ABCA2	H0Y8C9
ABCA2	H0Y8D6
ABCA2	H0Y8E3
ABCA2	H7C5M6
ABCA2	J3QSS3
ABCA2	Q08EJ9
ABCA2	Q13039
ABCA2	Q6P2G5
ABCA2	Q96HC2
ABCA2	Q9BZC7
ABCA7	A0A087WX86
ABCA7	A0A087WZX6
ABCA7	A0A6E1ZGS3
ABCA7	D6W5Y0
ABCA7	E9PKG5
ABCA7	E9PL63
ABCA7	H0YCN5
ABCA7	H0YF58
ABCA7	L8EB07
ABCA7	Q8IZY2
ABCB1	A1L471
ABCB1	A4D1D2
ABCB1	A8E2S6
ABCB1	B5U2G4
ABCB1	E7EWT8
ABCB1	F4ZUQ5
ABCB1	F4ZUT2
ABCB1	F4ZUV0
ABCB1	F4ZUV4
ABCB1	F4ZUX9
ABCB1	F4ZUY5
ABCB1	F4ZV79
ABCB1	P08183
ABCB1	Q6TBL4
ABCC2	A0A3B3IRU4
ABCC2	A0A3B3IRZ2
ABCC2	A0A3B3IS94
ABCC2	A0A3B3ITG8
ABCC2	Q92887
ABCC8	A0A220SZZ5
ABCC8	A0A2R8Y3M7
ABCC8	A0A2R8Y475
ABCC8	A0A2R8Y4V0
ABCC8	A0A2R8Y4Z4
ABCC8	A0A2R8Y5D8
ABCC8	A0A2R8Y5I7
ABCC8	A0A2R8Y5V4
ABCC8	A0A2R8Y5X1
ABCC8	A0A2R8Y605
ABCC8	A0A2R8Y698
ABCC8	A0A2R8Y6B7
ABCC8	A0A2R8Y6I7
ABCC8	A0A2R8Y6Q0
ABCC8	A0A2R8Y775
ABCC8	A0A2R8Y781
ABCC8	A0A2R8Y7I1
ABCC8	A0A2R8YCG4
ABCC8	A0A2R8YD94
ABCC8	A0A2R8YDB5
ABCC8	A0A2R8YDE9
ABCC8	A0A2R8YDG0
ABCC8	A0A2R8YDG6
ABCC8	A0A2R8YDX3
ABCC8	A0A2R8YEE5
ABCC8	A0A2R8YFB3
ABCC8	A0A2R8YFU3
ABCC8	A0A2R8YG67
ABCC8	A0A2R8YGQ6
ABCC8	A0A2R8YHG6
ABCC8	E9PK50
ABCC8	H0YDH8
ABCC8	H0YE33
ABCC8	H0YEA9
ABCC8	H0YF51
ABCC8	Q09428
ABCC9	A0A024RAV7
ABCC9	G3V1N6
ABCC9	H0YFV4
ABCC9	K4DI86
ABCC9	O60706
ABCC9	Q8N4N7
ABCG1	C9JKD9
ABCG1	E9PGV9
ABCG1	P45844
ABCG4	E9PJ00
ABCG4	Q9H172
ABCG5	Q53QN9
ABCG5	Q53T83
ABCG5	Q9H222
ACAD8	E9PKP9
ACAD8	E9PLS3
ACAD8	Q6ZUS0
ACAD8	Q9UKU7
ACAN	A0A087X1T7
ACAN	A0A5K1VW97
ACAN	H0YK70
ACAN	H0YMF1
ACAN	P16112
ACAN	Q6PID9
ACAT2	O75908
ACAT2	Q9BWD1
ACE	A0A0A0MSN4
ACE	D3DU13
ACE	I3UJJ7
ACE	I6L9B3
ACE	J3KRH5
ACE	J3KS28
ACE	J3KSQ5
ACE	J3KTB8
ACE	J3KTH9
ACE	J3QLR4
ACE	J3QRX8
ACE	J3QSC7
ACE	P12821
ACE	Q1KSD9
ACE	Q1KSG0
ACE	Q3KRI4
ACE	Q3KRI5
ACE	X4Y8J8
ACF	A0A024QZI9
ACF	A0A024QZJ5
ACF	A0A024QZM7
ACF	Q9NQ94
ACHE	A0A166IZM7
ACHE	A0A2S1KLT7
ACHE	A0A411EXG3
ACHE	A0A411EXG9
ACHE	A0A498U6H7
ACHE	A0A6M6AM29
ACHE	C9J2S3
ACHE	C9JD78
ACHE	C9JZL6
ACHE	D6W5X8
ACHE	F8WAR7
ACHE	F8WD34
ACHE	F8WD68
ACHE	P22303
ACHE	Q13697
ACHE	Q6TQD3
ACO2	A2A274
ACO2	Q71UF1
ACO2	Q99798
ACSL4	A0A0C4DGB7
ACSL4	D6RDA8
ACSL4	D6RF95
ACSL4	H0Y9A0
ACSL4	O60488
ACTA2	D2JYH4
ACTA2	F6QUT6
ACTA2	F6UVQ4
ACTA2	P62736
ACTA2	Q13707
ADAM10	A0A024R5U5
ADAM10	A0A087WYG1
ADAM10	A0AV88
ADAM10	B5MC71
ADAM10	C9J9B4
ADAM10	H0YK32
ADAM10	H0YK87
ADAM10	H0YNC5
ADAM10	H3BS53
ADAM10	L8E9R5
ADAM10	O14672
ADAM12	O43184
ADAM12	Q5JRP2
ADAM12	U5NE98
ADAM17	A0A3B3ISQ1
ADAM17	A0A3B3IST4
ADAM17	A0A3B3ITB5
ADAM17	A0A3B3ITW9
ADAM17	A6H8L4
ADAM17	B2RNB2
ADAM17	P78536
ADAM17	Q53RF5
ADAM17	Q53RS1
ADAM17	Q53S40
ADAM17	Q6P5T8
ADAM9	A0A0J9YY58
ADAM9	A0AVL1
ADAM9	C9J6H5
ADAM9	C9JPM3
ADAM9	F8WC54
ADAM9	Q13443
ADCYAP1R1	A0A090N8F8
ADCYAP1R1	C9JVH3
ADCYAP1R1	E9PFU5
ADCYAP1R1	H0Y813
ADCYAP1R1	P41586
ADCYAP1R1	Q6RKA2
ADCYAP1R1	Q6RKA3
ADCYAP1R1	Q6S991
ADCYAP1R1	Q6S992
ADORA2A	C9J0Z4
ADORA2A	C9J3T2
ADORA2A	C9JFS2
ADORA2A	C9JQD8
ADORA2A	P29274
ADORA2A	S4R2Z8
ADORA2A	S4R3A7
ADORA2A	S4R429
ADORA2A	X5DNB4
ADORA2B	A0MCH9
ADORA2B	P29275
ADORA2B	Q2L7J7
ADRA1A	B0ZBD3
ADRA1A	E7EW16
ADRA1A	P25100
ADRA1A	P35348
ADRA2A	P08913
ADRB1	P08588
ADRB2	A2N4T7
ADRB2	P07550
ADRB2	Q9BYZ0
ADRB2	X5DQM5
ADRB3	A8KAG8
ADRB3	B8X6N0
ADRB3	B8X6N1
ADRB3	P13945
AGER	A0A0G2JID9
AGER	A0A0G2JJF5
AGER	A0A0G2JJW2
AGER	A0A0G2JKB6
AGER	A0A0G2JL21
AGER	A0A0G2JL23
AGER	A0A0G2JL37
AGER	A0A0G2JL65
AGER	A8MS87
AGER	B5A982
AGER	C0IP14
AGER	C0IP16
AGER	E9LVY5
AGER	E9LVY6
AGER	E9LVY7
AGER	F1ABM9
AGER	F1ABN0
AGER	F1ABN1
AGER	F1ABN2
AGER	F1ABN3
AGER	F1ABN4
AGER	F1ABN5
AGER	Q101R2
AGER	Q101R3
AGER	Q101R5
